YEAR,PERCENT_RURAL,PERCENT_RURAL,NORMALIZED
1800,12,88,1
1801,NA,NA,NA
1802,NA,NA,NA
1803,NA,NA,NA
1804,NA,NA,NA
1805,NA,NA,NA
1806,NA,NA,NA
1807,NA,NA,NA
1808,NA,NA,NA
1809,NA,NA,NA
1810,NA,NA,NA
1811,NA,NA,NA
1812,NA,NA,NA
1813,NA,NA,NA
1814,NA,NA,NA
1815,NA,NA,NA
1816,NA,NA,NA
1817,NA,NA,NA
1818,NA,NA,NA
1819,NA,NA,NA
1820,NA,NA,NA
1821,NA,NA,NA
1822,NA,NA,NA
1823,NA,NA,NA
1824,NA,NA,NA
1825,NA,NA,NA
1826,NA,NA,NA
1827,NA,NA,NA
1828,NA,NA,NA
1829,NA,NA,NA
1830,NA,NA,NA
1831,NA,NA,NA
1832,NA,NA,NA
1833,NA,NA,NA
1834,NA,NA,NA
1835,NA,NA,NA
1836,NA,NA,NA
1837,NA,NA,NA
1838,NA,NA,NA
1839,NA,NA,NA
1840,NA,NA,NA
1841,NA,NA,NA
1842,NA,NA,NA
1843,NA,NA,NA
1844,NA,NA,NA
1845,NA,NA,NA
1846,NA,NA,NA
1847,NA,NA,NA
1848,NA,NA,NA
1849,NA,NA,NA
1850,NA,NA,NA
1851,NA,NA,NA
1852,NA,NA,NA
1853,NA,NA,NA
1854,NA,NA,NA
1855,NA,NA,NA
1856,NA,NA,NA
1857,NA,NA,NA
1858,NA,NA,NA
1859,NA,NA,NA
1860,NA,NA,NA
1861,NA,NA,NA
1862,NA,NA,NA
1863,NA,NA,NA
1864,NA,NA,NA
1865,NA,NA,NA
1866,NA,NA,NA
1867,NA,NA,NA
1868,NA,NA,NA
1869,NA,NA,NA
1870,NA,NA,NA
1871,NA,NA,NA
1872,NA,NA,NA
1873,NA,NA,NA
1874,NA,NA,NA
1875,NA,NA,NA
1876,NA,NA,NA
1877,NA,NA,NA
1878,NA,NA,NA
1879,NA,NA,NA
1880,NA,NA,NA
1881,NA,NA,NA
1882,NA,NA,NA
1883,NA,NA,NA
1884,NA,NA,NA
1885,NA,NA,NA
1886,NA,NA,NA
1887,NA,NA,NA
1888,NA,NA,NA
1889,NA,NA,NA
1890,NA,NA,NA
1891,NA,NA,NA
1892,NA,NA,NA
1893,NA,NA,NA
1894,NA,NA,NA
1895,NA,NA,NA
1896,NA,NA,NA
1897,NA,NA,NA
1898,NA,NA,NA
1899,NA,NA,NA
1900,NA,NA,NA
1901,NA,NA,NA
1902,NA,NA,NA
1903,NA,NA,NA
1904,NA,NA,NA
1905,NA,NA,NA
1906,NA,NA,NA
1907,NA,NA,NA
1908,NA,NA,NA
1909,NA,NA,NA
1910,38,62,0.704545455
1911,NA,NA,NA
1912,NA,NA,NA
1913,NA,NA,NA
1914,NA,NA,NA
1915,NA,NA,NA
1916,NA,NA,NA
1917,NA,NA,NA
1918,NA,NA,NA
1919,NA,NA,NA
1920,NA,NA,NA
1921,NA,NA,NA
1922,NA,NA,NA
1923,NA,NA,NA
1924,NA,NA,NA
1925,NA,NA,NA
1926,NA,NA,NA
1927,NA,NA,NA
1928,NA,NA,NA
1929,NA,NA,NA
1930,NA,NA,NA
1931,NA,NA,NA
1932,NA,NA,NA
1933,NA,NA,NA
1934,NA,NA,NA
1935,NA,NA,NA
1936,NA,NA,NA
1937,NA,NA,NA
1938,NA,NA,NA
1939,NA,NA,NA
1940,NA,NA,NA
1941,NA,NA,NA
1942,NA,NA,NA
1943,NA,NA,NA
1944,NA,NA,NA
1945,NA,NA,NA
1946,NA,NA,NA
1947,NA,NA,NA
1948,NA,NA,NA
1949,NA,NA,NA
1950,48,52,0.590909091
1951,NA,NA,NA
1952,NA,NA,NA
1953,NA,NA,NA
1954,NA,NA,NA
1955,NA,NA,NA
1956,NA,NA,NA
1957,NA,NA,NA
1958,NA,NA,NA
1959,NA,NA,NA
1960,61.88,38.12,0.433181818
1961,62.607,37.393,0.424920455
1962,63.489,36.511,0.414897727
1963,64.702,35.298,0.401113636
1964,65.898,34.102,0.387522727
1965,67.071,32.929,0.374193182
1966,68.225,31.775,0.361079545
1967,69.357,30.643,0.348215909
1968,70.238,29.762,0.338204545
1969,70.648,29.352,0.333545455
1970,71.055,28.945,0.328920455
1971,71.459,28.541,0.324329545
1972,71.86,28.14,0.319772727
1973,72.256,27.744,0.315272727
1974,72.65,27.35,0.310795455
1975,72.926,27.074,0.307659091
1976,72.997,27.003,0.306852273
1977,73.068,26.932,0.306045455
1978,73.14,26.86,0.305227273
1979,73.211,26.789,0.304420455
1980,73.282,26.718,0.303613636
1981,73.352,26.648,0.302818182
1982,73.425,26.575,0.301988636
1983,73.5,26.5,0.301136364
1984,73.575,26.425,0.300284091
1985,73.65,26.35,0.299431818
1986,73.725,26.275,0.298579545
1987,73.8,26.2,0.297727273
1988,73.875,26.125,0.296875
1989,73.95,26.05,0.296022727
1990,74.056,25.944,0.294818182
1991,74.229,25.771,0.292852273
1992,74.401,25.599,0.290897727
1993,74.572,25.428,0.288954545
1994,74.743,25.257,0.287011364
1995,74.912,25.088,0.285090909
1996,75.082,24.918,0.283159091
1997,75.25,24.75,0.28125
1998,75.417,24.583,0.279352273
1999,75.614,24.386,0.277113636
2000,75.871,24.129,0.274193182
